name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha,super_loss,un_super_loss,SRC_student,SRC_teacher,TGT_student,TGT_teacher,student,teacher,mask,im
Meanteacher21_1,0.85,1.0,0.0,1,0.0,0.0,0.0,0.99,0.0036,0.00246,91.41,90.73,57.82,59.83,74.61,75.28,0.603,0.932
Meanteacher21_5,0.85,5.0,0.0,1,0.0,0.0,0.0,0.99,0.0047,0.00073,90.99,89.04,49.14,50.43,70.06,69.74,0.587,0.98
Meanteacher21_20,0.85,20.0,0.0,1,0.0,0.0,0.0,0.99,0.0096,0.0004,90.2,84.48,51.49,50.71,70.84,67.6,0.587,0.988
Meanteacher22_1,0.85,1.0,1.0,1,0.0,0.0,0.0,0.99,0.0029,0.00185,91.68,90.1,63.26,67.74,77.47,78.92,0.64,0.948
Meanteacher22_1_01,0.85,1.0,1.0,1,0.0,0.0,0.0,0.99,0.0024,0.00177,91.6,90.44,65.02,67.96,78.31,79.2,0.641,0.952
Meanteacher22_15,0.85,15.0,1.0,1,0.0,0.0,0.0,0.99,0.0061,0.00033,90.56,86.99,64.24,67.0,77.4,77.0,0.607,0.991
Meanteacher22_15_01,0.85,15.0,1.0,1,0.0,0.0,0.0,0.99,0.0064,0.00035,89.3,85.27,71.83,72.92,80.56,79.1,0.613,0.992
Meanteacher22_15_02,0.85,15.0,1.0,1,0.0,0.0,0.0,0.99,0.0074,0.00039,90.2,86.64,68.07,70.29,79.13,78.46,0.607,0.991
Meanteacher22_20,0.85,20.0,2.0,1,0.0,0.0,0.0,0.99,0.01,0.00044,89.75,86.29,68.75,71.45,79.25,78.87,0.635,0.991
Meanteacher22_20_01,0.85,20.0,2.0,1,0.0,0.0,0.0,0.99,0.0085,0.00037,90.18,87.09,66.15,68.91,78.17,78.0,0.64,0.992
Meanteacher22_20_02,0.85,20.0,1.0,1,0.0,0.0,0.0,0.99,0.0088,0.00037,90.21,87.52,67.59,69.94,78.9,78.73,0.626,0.992
Meanteacher22_3,0.85,3.0,1.0,1,0.0,0.0,0.0,0.99,0.0022,0.00057,91.6,89.74,65.77,68.31,78.68,79.03,0.638,0.985
Meanteacher22_3_01,0.85,3.0,2.0,1,0.0,0.0,0.0,0.99,0.003,0.00074,91.58,89.16,65.56,68.52,78.57,78.84,0.639,0.979
Meanteacher22_3_02,0.85,3.0,160.0,1,0.0,0.0,0.0,0.99,0.0032,0.00083,91.76,89.52,66.89,69.02,79.32,79.27,0.655,0.974
Meanteacher22_5,0.85,5.0,2.0,1,0.0,0.0,0.0,0.99,0.0035,0.00053,91.24,88.58,70.23,73.27,80.74,80.92,0.666,0.984
Meanteacher22_5_01,0.85,5.0,1.0,1,0.0,0.0,0.0,0.99,0.004,0.00062,91.28,89.64,66.51,69.82,78.9,79.73,0.664,0.987
