name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha
Meanteacherrand,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.95,0.95,10.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.999,0.95,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacherrand_05,0.95,5.0,2.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_un_03,0.95,3.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand01,0.85,10.0,2.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.999_0.85,0.85,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacherrand_0.999_01,0.95,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacher_thres_0.85,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.85_01,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.85_02,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.25,0.25,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.5,0.5,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.75,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.75_01,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.75_02,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.8,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.8_01,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.8_02,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.9,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.9_01,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.9_02,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.95,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.95_01,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.95_02,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.97,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.97_01,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.97_02,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.99,0.99,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher_thres_0.99_01,0.99,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher0.9997,0.85,3.0,0.0,1,0.0,0.0,0.0,0.9997
Meanteacher_0.85_10_0.999_33layer,0.85,10.0,1.0,1,0.0,1.0,33.0,0.999
Meanteacher_0.85_10_0.99_33layer,0.85,10.0,1.0,1,0.0,1.0,33.0,0.99
Meanteacher_0.85_3_0.99_33_rand,0.85,3.0,1.0,1,0.0,1.0,33.0,0.99
Meanteacher_LRF108,0.85,10.0,1.0,1,0.0,0.0,108.0,0.99
Meanteacher_LRF33,0.85,10.0,1.0,1,0.0,0.0,33.0,0.99
Meanteacher_LRF33_01,0.85,10.0,1.0,1,0.0,0.0,33.0,0.99
Meanteacher_SGD,0.85,10.0,1.0,SGD,0.0,0.0,33.0,0.99
Meanteacher_alpha0.9,0.85,8.0,1.0,1,0.0,0.0,33.0,0.9
Meanteacher_confidenceup,0.8+0.2,8.0,1.0,1,0.0,0.0,33.0,0.99
Meanteacher_cosine_20*2,0.85,10.0,1.0,cosinewarmup,0.0,0.0,0.0,0.99
Meanteacher_no_DA,0.85,10.0,1.0,NoDA,0.0,0.0,0.0,0.99
Meanteacher_only_CT,0.85,10.0,1.0,OnlyCT,0.0,0.0,0.0,0.99
Meanteacher_rm_CT,0.85,10.0,1.0,RMCT,0.0,0.0,0.0,0.99
Meanteacherrand_0.85_10_0.99,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.85_10_0.999,0.85,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacherrand_0.85_10_0.999_01,0.85,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001
Meanteacherrand_0.85_10_0.99_01,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.95_10_0.99,0.95,10.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.95_10_0.999,0.95,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacherrand_0.95_10_0.999_01,0.95,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001
Meanteacherrand_0.95_10_0.999_02,0.95,10.0,1.0,1,0.0,1.0,0.0,0.999
Meanteacherrand_0.95_3_0.99,0.95,3.0,1.0,1,0.0,1.0,0.0,0.99
Meanteacherrand_0.95_5_0.99,0.95,5.0,1.0,1,0.0,1.0,0.0,0.99
